Restaurant Name,Address,Predictions
Mariscos Aguachiles Culichi,2462 N Las Vegas Blvd,Fail
Fausto's Mexican Grill,2654 W Horizon Ridge Pkwy,Fail
China Gourmet,"2585 S Nellis Blvd, Ste 7",Fail
Cook On Wok,8380 W Cheyenne Ave,Fail
Lino's Pizzeria & Italian Cuisine,"7240 W Azure Dr, Ste 145",Fail
Bruxie,"3782 S Las Vegas Blvd, South Tenant Block, Bldg D1",Fail
Gotta Love Cheesecake,"5081 N Rainbow Blvd, Ste 100",Fail
Robertos Taco Shop,"4275 N Rancho Dr, Ste 150",Fail
Nacho Daddy Downtown,113 N 4th St,Fail
Pool Cafe,3600 S Las Vegas Blvd,Fail
FAME,3545 Las Vegas Blvd S,Fail
Pink Taco,4455 Paradise Rd,Fail
Quality Mobile Food Service,29 N 30th St,Fail
New York Pizza & Pasta,"2400 S Jones Blvd, Ste 13",Fail
Luna Rossa,10 Via Bel Canto,Fail
PublicUs,1126 Fremont St,Fail
Panda Express,7470 S Las Vegas Blvd,Fail
McDonald's,5111 Boulder Hwy,Fail
Maui Rose Hawaiian BBQ,"2600 W Sahara Ave, Ste 101",Fail
McDonald's,4411 W Sahara Ave,Fail
Happy's Pizza,6110-A  Flamingo Rd,Fail
Robertos Taco Shop,"2240 W Horizon Ridge Pkwy, Ste 140",Fail
Best Billiards,3740 E Flamingo Rd,Fail
Emperor's Garden,"4215 Spring Mountain Rd, Ste B203",Fail
Hash House A Go Go,"The M Resort, 12300 Las Vegas Blvd S",Fail
Mariscos El Puerto,1901 N Decatur Blvd,Fail
Hanabi Sushi and Rolls,"9350 W Sahara Ave, Ste 150",Fail
L & L Hawaiian BBQ,4030 S Maryland Pkwy,Fail
Jasmine Express,5546 Camino Al Norte,Fail
Buffalo's Pizza,"4045 S Buffalo Dr, Ste 108",Fail
Long John Silver's,4675 W Charleston Blvd,Fail
Pho MaiLan,"10895 S Eastern Ave, Ste 140",Fail
Basil Thai Fusion,4341 N Rancho Dr,Fail
Pokeman,"3735 Spring Mountain Rd, Ste 206",Fail
Sushi Culiacan,"4420 E Charleston Blvd, Ste 5",Fail
M&M Soul Food Cafe,3923 W Charleston Blvd,Fail
Stacks & Yolks,3200 N Jones Blvd,Fail
Viet Noodle Bar,5288 Spring Mountain Rd,Fail
Yama Sushi,"1350 E Flamingo Rd, Ste 18",Fail
L&L Hawaiian BBQ,"4770 W Ann Rd, Ste 6",Fail
Dot's Southern Kitchen,4955 E Craig Rd,Fail
Roberto's Taco Shop,4690 W Cactus Ave,Fail
Dairy Queen,3850 S Las Vegas Blvd,Fail
Rockin' Taco Mexican Grill,"3717 S Las Vegas Blvd, Ste 260",Fail
Baja Fresh Mexican Grill,7930 W Tropical Pkwy,Fail
Golden China,1750 N Buffalo Dr,Fail
Donut Tyme,4268 E Charleston Blvd,Fail
Del Taco,1197 E Tropicana Ave,Fail
Pios Pios Ice Cream Shop,"2660 S Maryland Pkwy, Ste 20",Fail
Checkers,1900 E. Charleston Blvd.,Fail
Hawaiian Marketplace,3743 Las Vegas Blvd S,Fail
Yalla Mediterranean Grill,"10895 S Eastern Ave, Ste 130",Fail
PT's,3470 E Sunset Rd,Fail
Beijing Chinese Cuisine,"9255 S Eastern Ave, Ste 330-4",Fail
Little Caesars Pizza,"4825 S. Rainbow Blvd. #202, Ste 202",Fail
Easy Life Boba Tea,"8560 W Desert Inn Rd, Ste D2",Fail
Sapphire Pool & Dayclub,"3025 Sammy Davis Jr Dr, Ste 200",Fail
Nina's Cafe,"4825 W Flamingo Rd, Ste 9-10",Fail
Fat Choy,595 E Sahara Ave,Fail
J & J Szechuan Cuisine川味坊,"5700 Spring Mountain Rd, Ste A",Fail
Pho So 1,4745 Spring Mountain Rd,Fail
Nutrition Rush,"4175 S Grand Canyon Dr, Ste 104",Fail
Taqueria Los Pioneros,4800 S Nellis Blvd,Fail
Flock & Fowl,380 W Sahara Ave,Fail
Tropical Smoothie Cafe,"4503 Paradise Road, #310",Fail
Sushi Bay,2603 Windmill Pkwy,Fail
Subway,3519 S Maryland Pkwy,Fail
Las Americas,2319 S Eastern Ave,Fail
Hash House A Go Go,3535 Las Vegas Blvd,Fail
Radio City Pizzeria,508  Fremont St,Fail
El Canelo Restaurant,23 N Mojave,Fail
Joe's New York Pizza,4480 Paradise Rd,Fail
Nacho Daddy Henderson,9925 S Eastern Ave,Fail
Applebee's Grill + Bar,4605 W Charleston Blvd,Fail
Yunnan Tasty Garden,5115 Spring Mt Rd,Fail
Rounders Anthem,2940 Bicentennial Pkwy,Fail
La Mojarra Loca,"821 N Lamb Blvd, Ste 14",Fail
MTO Café,500 S Main St,Fail
Capriotti's Sandwich Shop,"8450 W Sahara Ave, Ste 116",Fail
Arata Sushi & Bowl,"3250 N Tenaya Way, Ste 99",Fail
McDonald's,1195 E Sahara Ave,Fail
Roberto's Taco Shop,"72 W Horizon Ridge Pkwy, Ste B-150",Fail
Joyful House Chinese Cuisine,4601 Spring Mountain Rd,Fail
Soulfish Poké,"8680 W Warm Springs Rd, Ste 110",Fail
McDonald's,2896 S Las Vegas Blvd,Fail
Los Compadres Meat Market,"4545 E Tropicana Ave, Ste 6",Fail
Carey Mini Market,1504 W Carey Ave,Fail
Los Tacos,4001 W Sahara Ave,Fail
Tokyo Sushi House,"10040 W Cheyenne Ave, Ste 150",Fail
Roberto's Taco Shop,6650 Vegas Dr,Fail
MTO Café,"10970 Rosemary Park Dr, Ste 100",Fail
Sushi Tachi,"2745 W Centennial Pkwy, Ste 130",Fail
Mariscos El Dorado,2021 E Charleston Blvd,Fail
Samurai Sam's,"4175 S Grand Canyon Dr, Ste 103",Fail
ProteinHouse,"9555 S Eastern Ave, Ste 125",Fail
Taco Bell,8150 Blue Diamond Rd,Fail
Therapy,518 E Fremont St,Fail
McDonald's,6020 W Tropicana,Fail
Tacos Los Toritos,861 N Nellis Blvd,Fail
Bombay Indian Cuisine,3049 Las Vegas Blvd,Fail
Pancho's Mexican Food,4886 W Lone Mountain,Fail
Ori'Zaba's Scratch Mexican Grill,7210 S Durango Dr,Fail
Rika Arepa Express,"3650 E Flamingo Rd, Ste 1",Fail
Cheffini's Hot Dogs,"707 Fremont St, Ste 1050",Fail
Salvadoreno Restaurant,720 N Main St,Fail
Port of Subs,"840 S Rancho, Ste 13",Fail
McDonald's,2248 Paradise Rd,Fail
Las Pupusas,"7450 W Cheyenne Ave, Ste A108",Fail
Pin Kaow Thai Restaurant,1974 N Rainbow Blvd,Fail
Pepe's Tacos 3,4814 Boulder Hwy,Fail
Taste Tea,10120 W Flamingo Rd,Fail
Thai Grill,1901 N Decatur Blvd,Fail
Port of Subs,"3281 S Highland Dr, Ste 802",Fail
Michoacan,7870 W Tropical Pkwy,Fail
Big Dog's Draft House,4543 N Rancho Dr,Fail
Tony’s Slice House,2300 Paseo Verde Pkwy,Fail
McDonald's,4505 W Charleston,Fail
Roma Pizza,4310 E Tropicana Ave,Fail
Happy Wok,"5479 S Rainbow Blvd, Ste A1",Fail
Thai Style Noodle House,"7377 S Jones Blvd, Ste 113-114",Fail
Pho Vegas,4251 W Sahara Ave,Fail
LV Food Junky,"450 Fremont St, Ste 135",Fail
Taqueria El Buen Pastor,530 N Las Vegas Blvd,Fail
Arirang Korean BBQ,"1370 East Flamingo Rd, Ste 27",Fail
Capriotti's,"1200 N Town Center Dr, Ste B",Fail
Bonjour Euro Bakery,"4012 S Rainbow Blvd, Ste J",Fail
Ori'Zaba's Scratch Mexican Grill,1263 E Silverado Ranch Blvd,Fail
Blueberry Hill Family Restaurant,1280 S Decatur Blvd,Fail
Kapit Bahay,"3743 Las Vegas Blvd, Ste 117B",Fail
KFC,71 N Nellis Blvd,Fail
Thai Room,"3355 E Tropicana Ave, Ste D",Fail
Del Taco,1801 W Charleston Blvd,Fail
Japaneiro,"7315 W Warm Springs Rd, Ste 170",Fail
Wendy's,500 N Green Valley Pkwy,Fail
Lino's Pizzeria & Italian Restaurant,4210 W Craig Rd,Fail
Sonic Drive-In,6301 W Lake Mead Blvd,Fail
Ok Chicken,6850 Spring Mountain Rd,Fail
Auntee M's Market,"4275 Arville St, Ste A",Fail
Pho Saigon 8,9055 S Eastern Ave,Fail
Sushi Mon,"8320 W Sahara Ave, Ste 180",Fail
Fuji Japanese Restaurant,"3430 E Tropicana Ave, Ste 30",Fail
No. 1 Boba Tea,"9711 S Eastern Ave, Ste H-12",Fail
Pink Box Doughnuts,7531 W Lake Mead Blvd,Fail
La Cabana,526 S Martin L King Blvd,Fail
Basil 'n Lime,"3665 Ft Apache Rd, Ste 100",Fail
Patty's Tamales,"5061 East Sahara Ave, Ste 1C",Fail
Great Harvest Bread Co,"4800 E Bonanza Rd, Unit 8",Fail
Bronze Cafe at The Center,401 S Maryland Pkwy,Fail
Vegas Best Pizza,384 E Tropicana,Fail
Nittaya's Secret Kitchen,"2110 N Rampart, Ste 110",Fail
Tony's Mexican Food,"5752 S Ft Apache Rd, Ste 100",Fail
Dakao Sandwiches,5700 W Spring Mountain Rd,Fail
California Noodle House,12 E Ogden Ave,Fail
Baja Fresh,"1292 S Nellis Blvd, Ste A",Fail
Rustica Pizzeria,"9730 W Tropicana Ave, Ste 140",Fail
AmeriBrunch Cafe,"316 E Bridger Ave, Ste 102",Fail
Angara India Spice Grill,"4165 S Grand Canyon Dr, Ste 105",Fail
Hot Tofu,6850 Spring Mountain,Fail
Tropical Smoothie Cafe,"6350 West Charleston Boulevard, Suite 130",Fail
Aurelio's Pizza,"445 W Craig Rd, Ste 105",Fail
Angelina's Pizzeria - Charleston,"5821 E Charleston Blvd, Ste 217",Fail
Tacos El Burrito Loco,2401 S Valley View Blvd,Fail
Lindo Michoacan,2655 E Desert Inn Rd,Fail
Capriotti's Sandwich Shop,170 N Boulder Hwy,Fail
Mount Everest India's Cuisine,3641 W Sahara Ave,Fail
Chopstix Express,2625 S Decatur Blvd,Fail
Panera Bread,7175 W Lake Mead Blvd,Fail
Arata Sushi,"3250 N Tenaya Way, Ste 99",Fail
McDonald's,2020 N Rainbow,Fail
Taqueria El Buen Pastor,318 Fremont Street Experience,Fail
Roberto's Taco Shop,4845 S Fort Apache,Fail
Burger King,8699 W Sahara Ave,Fail
Don Tortaco Mexican Grill,"1475 W Horizon Ridge Pkwy, Ste 140",Fail
The Hush Puppy,7185 W Charleston Blvd,Fail
Sushi House Goyemon,"5255 S Decatur Blvd, Ste 118-119",Fail
Tea Station,"4355 Spring Mountain Rd, Ste 106",Fail
Green Valley Mini Mart,690 N Valle Verde Dr,Fail
Ohjah Noodle House,"7150 S Durango Dr, Ste 190",Fail
Thai Spice,4433 W Flamingo Rd,Fail
Hot Dog On A Stick,3850 Las Vegas Blvd S,Fail
El Burrito Mexican Restaurant,8508 Del Webb Blvd,Fail
Chicago Joe's,820 S 4th St,Fail
Del Taco,5180 S Fort Apache Rd,Fail
Rincon Catracho,4110 S Maryland Pkwy,Fail
Tacos Los Toritos,"855 E Twain Ave, Ste 127",Fail
BBQ King,5650 Spring Mountain Rd,Fail
Marché Bacchus,"2620 Regatta Dr, Ste 106",Fail
Club Platinum,311 E Flamingo Rd,Fail
Teriyaki Madness,5749 E Russell Road,Fail
Hawaiian Style Poke,3524 Wynn Rd,Fail
JINYA Ramen Bar,4860 W Flamingo Rd,Fail
Sakura Japanese Cuisine,6850 Spring Mountain Rd,Fail
Magura,"3242 E Desert Inn Rd, Ste 15",Fail
Lobster ME,"Grand Canal Shoppes at The Venetian, 3377 South Las Vegas Blvd",Fail
Kazuki Sushi,10670 Southern Highlands Pkwy,Fail
Rosati's,"72 W Horizon Ridge Pkwy, Ste 140",Fail
Don Tortaco Mexican Grill,"430 E Silverado Ranch, Ste 100",Fail
Lazeez,"8560 W Desert Inn Rd, Ste D-3",Fail
Hot Dog on a Stick,4300 Meadows Ln,Fail
Strip Jerky,"7450 W Cheyenne Ave, Ste 102",Fail
Domino's Pizza,3395 E Tropicana Ave,Fail
Palm Pizza,3411 E Charleston Blvd,Fail
Yagyu Yakiniku,"4355 W Spring Mountain Rd, Ste 107",Fail
Tacos El Compita 3,4455 E Tropicana St,Fail
Sushi Koma,"8665 W Flamingo Rd, Ste 126 & 127",Fail
Mariscos La Lomita De Culiacan,3330 Losee Rd,Fail
Hachi,3410 S Jones Blvd,Fail
Roberto's Taco Shop,7251 W Azure Dr,Fail
Fausto's Mexican Grill,595 College Dr,Fail
Trattoria Italia,"9905 S Eastern Ave, Ste 140",Fail
Little Caesars Pizza,4559 W. Charleston Blvd. Suite D32,Fail
Dimas Tacos,"5081 N Rainbow Blvd, Ste 103",Fail
Chili's,7335 Arroyo Crossing Pkwy,Fail
Denny's,1201 W Warm Springs Rd,Fail
Rocco's NY Pizzeria,1910 Village Center Cir,Fail
Ramen Arashi,"4555 S Fort Aache Rd, Ste 110",Fail
Orchids Garden Chinese Restaurant,5485 W Sahara Ave,Fail
Lotus Garden Cuisine,6435 S Rainbow Blvd,Fail
Anthony & Mario's Broadway Pizzeria,"840 S Rancho Dr, Ste 15",Fail
McDonald's,2886 S Nellis Blvd,Fail
Cuba Cafe,2055 E Tropicana Ave,Fail
Sofia's Pizza,3124 Las Vegas Blvd N,Fail
American Coney Island Chili Dogs,301 Fremont St,Fail
Aloha Hawaiian BBQ,"4990 W Craig Rd, Ste 4",Fail
Lindo Michoacan,10082 W Flamingo Rd,Fail
L & L Hawaiian Barbecue,2595 S Maryland Pkwy,Fail
El Santaneco,"4632 S Maryland Pkwy, Ste 7",Fail
Millside,5710 Losee Rd,Fail
LULU Hawaiian BBQ 2,7120 North Durango Dr,Fail
Volcano Tea House,"4215 Spring Mountain Rd, Ste B106B",Fail
Denny's,7200 S Las Vegas Blvd,Fail
Little Pampanga Filipino Cuisine,6325 E Russell Rd,Fail
Tacos El Gordo,3260 Losee Rd,Fail
Dairy Queen,3154 W Sahara Ave,Fail
Ali Baba Cuisine,8826 S Eastern Ave,Fail
Asian BBQ & Noodle,"3400 S Jones Blvd, Ste 5C",Fail
Tropicana Pizza,"5841 E Lake Mead Blvd, Ste C",Fail
Teriyaki Brother,6679 Smoke Ranch Rd,Fail
Mariscos El Tapatio,1195 E Pyle Ave,Fail
Church's Chicken,7925 S Rainbow Blvd,Fail
Santa Rosa Taco Shop,23 E Basic Rd,Fail
Joe's Crab Shack,1991 N Rainbow Blvd,Fail
Golden Corral,1455 S Lamb Blvd,Fail
Tropical Smoothie Cafe,"7375 South Durango Drive, #107",Fail
Wings Restaurant,"6572 N Decatur Blvd, Ste 140",Fail
Round Table Pizza,7141 South Eastern Avenue,Fail
2 Scoops of Aloha LV,5030 Paradise Rd,Fail
Cal Club Snack Bar,"California Hotel & Casino, 12 E Ogden Ave",Fail
Krazy Buffet,3131 N Rainbow Blvd,Fail
La Salsa,"3500 Las Vegas Blvd S, Ste R06, The Forum Shops At Caesars",Fail
The Palazzo Las Vegas,3325 South Las Vegas Boulevard,Fail
Capriotti's Sandwich Shop,7291 S Eastern Ave,Fail
Piccadilly Pizza Fremont,322 Fremont St,Fail
Mariscos El Pariente,6182 W Flamingo Rd,Fail
Canaletto Ristorante Veneto,"The Venetian Resort-Hotel-Casino, 3377 Las Vegas Blvd. South, Ste 2440",Fail
Panda Express,5595 Simmons St,Fail
Papa John's Pizza,8840 W Farm Rd,Fail
China Tango,"2850 Bicentennial Pkwy, Ste 100",Fail
El Gran Taco,4924 E Tropicana Ave,Fail
Teriyaki Madness,"72 W Horizon Ridge Pkwy, #B-105",Fail
Pt's Pub,3935 S Durango Dr,Fail
Subway,4915 E Charleston Blvd,Fail
Other Mama,"3655 S Durango, Unit 6",Fail
Hash House A Go Go,1 S Main St,Fail
Le Village Buffet,3655 Las Vegas Blvd S,Fail
The Memory Thai,4005 E Desert Inn Rd,Fail
Cheffinis Hot Dogs- THE CART,520 Fremont St,Fail
Little Dumpling,180 S Stephanie St,Fail
Carl's Jr,1440 W Cheyenne,Fail
Chili's,7530 Las Vegas Blvd S,Fail
Del Taco,1802 E Charleston Blvd,Fail
Krispy Kreme,1331 W Craig Rd,Fail
Del Taco,2531 E Craig Rd N,Fail
Earl of Sandwich,"2010 Festival Plaza Dr, Ste 180",Fail
La Choza,1520 N Eastern Ave,Fail
Los Molcajetes,1553 N Eastern Ave,Fail
Viva Las Arepas,"1616 S Las Vegas Blvd, Ste 120",Fail
Wasabi Jane's Venetiaen,3355 Las Vegas Blvd S,Fail
Pho Kim Long,4029 Spring Mountain Rd,Fail
Café Zupas,8850 W Charleston Blvd,Fail
Olocuilta Restaurant,1756 E Charleston Blvd,Fail
Tropical Smoothie Cafe,"9440 West Sahara Boulevard, Suite 105",Fail
D E Thai Kitchen,1108 S 3rd St,Fail
Outback Steakhouse,7380 Las Vegas Blvd S,Fail
Kapit Bahay,"4115 Spring Mountain Rd, Ste 104",Fail
Stir Krazy Mongolian Grill,"3345 E Patrick Ln, Ste 100",Fail
Round Table Pizza,"7460 West Lake Mead Boulevard, Sutie E-8",Fail
Red Rock Pizza,8455 W Lake Mead Blvd,Fail
Capriotti's Sandwich Shop,"7240 W Azure Dr, Ste 155",Fail
Peace Ethiopian Market & Cafe,"4850 W Flamingo Rd, Ste 48",Fail
Full House BBQ,"9890 S Maryland Pkwy, Ste 19",Fail
La Flor de Michoacan Ice Cream,"2670 N Las Vegas Blvd, Ste 107",Fail
Nekter Juice Bar,"1990 Village Center Cir, Ste 3",Fail
Chubby Cattle,"3400 S Jones Blvd, Ste 15",Fail
Potato Corner,6605 Las Vegas Blvd,Fail
Vila Algarve,"6120 W Tropicana Ave, Ste A 11/12",Fail
China AAA,"9775 S Maryland Pkwy, Ste C",Fail
Thai Pepper,2226 Paradise Rd,Fail
The Original Pancake House,4170 S Ft Apache Rd,Fail
Fat Moe's Pizza & Wings,"6125 W Tropicana Ave, Ste F",Fail
Ichiza,4355 Spring Mountain Rd,Fail
Teriyaki Madness,"4870 Blue Diamond Rd, Ste 110",Fail
